RANK	MIN_DETECTABLE_RR	SOURCE_ID	DRUG_CONCEPT_ID	CONDITION_CONCEPT_ID	GROUND_TRUTH	LOGRR	LOGLB95RR	Pr foo
1	1.11	29	1782521	500000301	1	0.70055	0.6132939	0r foo
2	1.02	29	924724	500000301	0	0.118913	0.1004283	0r foo
3	1.01	29	1308216	500000301	1	0.0778818	0.06226129	0r foo
4	1.01	29	1797513	500000301	1	0.0740752	0.06400823	0r foo
5	1.01	29	1115008	500000301	1	0.0693546	0.0582962	0r foo
6	1.04	29	1305058	500000301	1	0.186323	0.1401987	1.22E-15r foo
7	1.01	29	1177480	500000301	1	0.0445004	0.03334298	2.66E-15r foo
8	1.02	29	920293	500000301	1	0.0627556	0.04593753	1.30E-13r foo
9	1.09	29	722424	500000301	1	0.455638	0.3325116	2.04E-13r foo
10	1.02	29	1741309	500000301	1	0.0955607	0.06623185	8.51E-11
11	1.05	29	987245	500000301	0	0.0945681	0.06296467	2.25E-09r foo
12	1.2	29	1714277	500000301	1	0.28139	0.1721145	2.24E-07r foo
13	1.02	29	1195492	500000301	1	0.0614033	0.03583471	1.26E-06r foo
14	1.03	29	1036228	500000301	0	0.0545787	0.03151949	1.75E-06r foo
15	1.01	29	1136980	500000301	1	0.0291037	0.01446842	4.86E-05r foo
16	1.01	29	1149380	500000301	0	0.0293887	0.01426116	7.01E-05r foo
17	1.1	29	1305447	500000301	1	0.211651	0.0883864	0.000382235r foo
18	1.01	29	1742253	500000301	1	0.0180381	0.007082621	0.000625338r foo
19	1.04	29	1580747	500000301	0	0.053035	0.01461645	0.003408664r foo
20	1.02	29	1167322	500000301	1	0.0409101	0.006811196	0.009349866r foo
21	1.04	29	745466	500000301	1	0.0453853	0.0043576	0.01507424r foo
22	1.14	29	1736971	500000301	1	0.16861	0.00854366	0.01948145r foo
23	1.03	29	1309204	500000301	0	0.0256952	0.001104256	0.02028117r foo
24	1.12	29	1710612	500000301	1	0.128082	0.003285272	0.02213317r foo
25	1.05	29	1436678	500000301	1	0.068999	0.000376852	0.02437753r foo
26	1.03	29	1146810	500000301	1	0.0353845	-0.000438616	0.02643591r foo
27	1.2	29	1304107	500000301	1	0.14607	-0.002552684	0.02703344r foo
