RANK	MIN_DETECTABLE_RR	SOURCE_ID	DRUG_CONCEPT_ID	CONDITION_CONCEPT_ID	GROUND_TRUTH	LOGRR	LOGLB95RR	P	ANALYSIS_ID	p_full	source_name	condition_name	CONCEPT_ID	rxnorm_concept_name	atc5_concept_id	atc5_concept_name	atc3_concept_id	atc3_concept_name	atc1_concept_id	atc1_concept_name
1	1.11	29	1782521	500000301	1	0.70055	0.6132939	0	1939010	1.00E-20	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1782521	Isoniazid	21603102	HYDRAZIDES	21603089	ANTIMYCOBACTERIALS	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
2	1.02	29	924724	500000301	0	0.118913	0.1004283	0	1939010	1.00E-20	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	924724	Dicyclomine	21600129	"SYNTH ANTICHOLINERGICS,ESTERS W/TERTIARY AMINO GRP"	21600127	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	21600001	ALIMENTARY TRACT AND METABOLISM
3	1.01	29	1308216	500000301	1	0.0778818	0.06226129	0	1939010	1.00E-20	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1308216	Lisinopril	21601784	"ACE INHIBITORS, PLAIN"	21601782	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	21601237	CARDIOVASCULAR SYSTEM
4	1.01	29	1797513	500000301	1	0.0740752	0.06400823	0	1939010	1.00E-20	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1797513	Ciprofloxacin	21605189	ANTIINFECTIVES	21605187	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	21603550	SENSORY ORGANS
5	1.01	29	1115008	500000301	1	0.0693546	0.0582962	0	1939010	1.00E-20	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1115008	Naproxen	21604036	"ANTIINFLAMMATORY PREPS, NON-STEROIDS TOPICAL USE"	21604034	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	21603931	MUSCULO-SKELETAL SYSTEM
6	1.04	29	1305058	500000301	1	0.186323	0.1401987	1.22E-15	1939010	1.22E-15	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1305058	Methotrexate	21603926	OTHER IMMUNOSUPPRESSANTS	21603890	IMMUNOSUPPRESSANTS	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
7	1.01	29	1177480	500000301	1	0.0445004	0.03334298	2.66E-15	1939010	2.66E-15	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1177480	Ibuprofen	21604036	"ANTIINFLAMMATORY PREPS, NON-STEROIDS TOPICAL USE"	21604034	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	21603931	MUSCULO-SKELETAL SYSTEM
8	1.02	29	920293	500000301	1	0.0627556	0.04593753	1.30E-13	1939010	1.30E-13	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	920293	Nitrofurantoin	21603057	NITROFURAN DERIVATIVES	21602796	ANTIBACTERIALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
9	1.09	29	722424	500000301	1	0.455638	0.3325116	2.04E-13	1939010	2.04E-13	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	722424	interferon beta 1a	21603857	INTERFERONS	21603848	IMMUNOSTIMULANTS	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
10	1.02	29	1741309	500000301	1	0.0955607	0.06623185	8.51E-11	1939010	8.51E-11	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1741309	terbinafine	21601965	ANTIFUNGALS FOR SYSTEMIC USE	21601908	ANTIFUNGALS FOR DERMATOLOGICAL USE	21601907	DERMATOLOGICALS
11	1.05	29	987245	500000301	0	0.0945681	0.06296467	2.25E-09	1939010	2.25E-09	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	987245	Lactulose	21600565	OSMOTICALLY ACTING LAXATIVES	21600531	LAXATIVES	21600001	ALIMENTARY TRACT AND METABOLISM
12	1.2	29	1714277	500000301	1	0.28139	0.1721145	2.24E-07	1939010	2.24E-07	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1714277	voriconazole	21603079	TRIAZOLE DERIVATIVES	21603071	ANTIMYCOTICS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
